region_category	bin_center_bp	density_per_kb_per_gene	ci_low	ci_high	n_genes
arm_regulatory	-300.0	0.25316455696202533	0.1518987341772152	0.3670886075949367	395
arm_regulatory	-100.0	0.25316455696202533	0.13924050632911392	0.3924050632911392	395
arm_regulatory	100.0	0.3291139240506329	0.20253164556962025	0.46835443037974683	395
arm_regulatory	300.0	0.16455696202531644	0.08860759493670886	0.25316455696202533	395
arm_regulatory	500.0	0.31645569620253167	0.20253164556962025	0.4430379746835443	395
arm_regulatory	700.0	0.31645569620253167	0.189873417721519	0.45569620253164556	395
arm_regulatory	900.0	0.3924050632911392	0.26582278481012656	0.5316455696202531	395
arm_regulatory	1100.0	0.26582278481012656	0.13924050632911392	0.3924050632911392	395
arm_regulatory	1300.0	0.34177215189873417	0.22784810126582278	0.46835443037974683	395
arm_regulatory	1500.0	0.27848101265822783	0.17721518987341772	0.4050632911392405	395
arm_regulatory	1700.0	0.3291139240506329	0.17721518987341772	0.5063291139240507	395
arm_regulatory	1900.0	0.20253164556962025	0.11392405063291139	0.3037974683544304	395
arm_regulatory	2100.0	0.35443037974683544	0.22784810126582278	0.5063291139240507	395
arm_regulatory	2300.0	0.3670886075949367	0.24050632911392406	0.5063291139240507	395
arm_regulatory	2500.0	0.45569620253164556	0.3037974683544304	0.6329113924050633	395
arm_regulatory	2700.0	0.31645569620253167	0.20253164556962025	0.4430379746835443	395
arm_regulatory	2900.0	0.3037974683544304	0.17721518987341772	0.45569620253164556	395
arm_regulatory	3100.0	0.31645569620253167	0.17721518987341772	0.4560126582278478	395
arm_regulatory	3300.0	0.16455696202531644	0.08829113924050634	0.27848101265822783	395
arm_regulatory	3500.0	0.46835443037974683	0.3291139240506329	0.620253164556962	395
arm_regulatory	3700.0	0.34177215189873417	0.21518987341772153	0.4936708860759494	395
arm_regulatory	3900.0	0.31645569620253167	0.189873417721519	0.4430379746835443	395
arm_regulatory	4100.0	0.3037974683544304	0.17689873417721522	0.45569620253164556	395
